country,segment,row_count,total_aum_eur
France,Insurance Company / Unit Link,941,2834080820.00
Switzerland,Bank / EdR Private Banking,880,1268631491.00
France,Bank / EdR Private Banking,562,1021384363.00
France,Insurance Company / Own Account,45,717696482.00
Spain,Bank / Private Banking,328,554866634.00
France,Pension Fund / Other,11,519594663.00
France,AM company / Fund of Funds,257,429308793.00
Spain,AM company / Fund of Funds,139,404548807.00
France,Bank / Private Banking,631,364948116.00
Italy,Insurance Company / Own Account,17,324049152.00
Italy,AM company / Fund of Funds,72,297195797.00
Spain,Bank / Retail,110,255807308.00
Italy,Bank / EdR Private Banking,45,206621237.00
Germany,AM company / Fund of Funds,10,189170950.00
Spain,Bank / EdR Private Banking,93,183980478.00
France,Insurance Company / Mutuelle,50,163672012.00
Switzerland,Bank / Private Banking,484,146951579.00
France,Bank / Retail,1093,115490460.00
France,Insurance Company / Retirement Scheme,42,113666773.00
France,AM company / Own account,18,108371371.00
France,Pension Fund / Employee Saving Scheme,1,104673877.00
Switzerland,Independant Financial Advisor,133,97210500.00
Italy,Insurance Company / Unit Link,30,93276541.00
France,Sovereign / Pension Fund,1,86118526.00
Italy,Bank / Retail,166,78212400.00
France,Bank / Own Account,43,64370360.00
France,Independant Financial Advisor,141,55892057.00
Spain,AM company / Own account,3,51843420.00
Spain,Bank / Trading Platform,97,51586032.00
Switzerland,Bank / Retail,171,51448334.00
France,Bank / Online Broker,154,45786962.00
Germany,Bank / Trading Platform,152,39825792.00
Germany,Bank / Retail,41,39504900.00
Germany,Single Family Office,1,22433242.00
France,AM company / Independant,67,20779421.00
France,Non-profit Organisation / Charity / Foundation,6,18990667.00
Italy,Bank / Private Banking,7,16447579.00
Spain,Independant Financial Advisor,28,16283559.00
France,Bank / Trading Platform,73,13985649.00
Switzerland,Bank / Trading Platform,50,12923144.00
Germany,Bank / Private Banking,23,11476059.00
Switzerland,AM company / Fund of Funds,4,10393554.00
Switzerland,Single Family Office,30,9785418.00
Spain,Multi Familly Office / Wealth manager,2,7877733.00
Germany,Insurance Company / Own Account,1,7716100.00
Italy,Independant Financial Advisor,53,5753350.00
Spain,Insurance Company / Own Account,12,5166372.00
Switzerland,Multi Familly Office / Wealth manager,7,4894511.00
Italy,AM company / Independant,1,4761923.00
Germany,Bank / Online Broker,41,4397231.00
Switzerland,AM company / Independant,10,4156138.00
Spain,AM company / Independant,12,3423219.00
France,Single Family Office,1,2877875.00
Switzerland,Bank / Online Broker,49,2545169.00
Spain,Insurance Company / Unit Link,1,1095814.00
Switzerland,AM company / Own account,3,467850.00
Italy,Insurance Company / Mutuelle,6,445903.00
France,AM company / EdR Fund of Funds,2,281640.00
Switzerland,Insurance Company / Own Account,3,191271.00
Spain,Pension Fund / Other,2,131168.00
France,Corporate,1,129633.00
Italy,Bank / Trading Platform,8,34810.00
Germany,Insurance Company / Unit Link,1,32081.00
